id,nid,cate,num,cate1,sx,wx,js,os,ds,xs,jz,fc
1,068,狗,44,水,11,1,0,1,1,0,32.2,13.3
2,069,牛,29,水,2,1,1,0,1,0,33.7,14.2
3,070,猪,43,水,12,1,1,0,1,0,34.7,13.5
4,071,蛇,49,土,6,4,1,0,1,0,36.7,13.7
5,072,虎,40,火,3,3,0,1,1,0,36.8,13.9
6,073,兔,3,金,4,5,1,0,0,1,41.5,6.8
7,074,羊,35,土,8,4,1,0,1,0,34.7,16.9
8,075,鸡,9,火,10,3,1,0,0,1,33.2,16.3
9,076,兔,39,火,4,3,1,0,1,0,29.8,19.1
10,077,猴,22,水,9,1,0,1,0,1,29.2,18.6
11,078,虎,28,土,3,4,0,1,1,0,24.7,15.9
12,079,猴,10,火,9,3,0,1,0,1,22.7,14.3
13,080,马,24,木,7,2,0,1,0,1,23.8,12.5
14,081,龙,38,木,5,2,0,1,1,0,22.0,11.3
15,082,猴,34,金,9,5,0,1,1,0,26.8,10.9
16,083,虎,28,土,3,4,0,1,1,0,26.0,9.9
17,084,狗,20,土,11,4,0,1,0,1,27.0,9.7
18,085,羊,35,土,8,4,1,0,1,0,25.7,10.1
19,086,鼠,30,水,1,1,0,1,1,0,29.8,7.0
20,087,兔,15,木,4,2,1,0,0,1,30.8,6.4
21,088,兔,15,木,4,2,1,0,0,1,27.0,7.9
22,089,龙,14,水,5,1,0,1,0,1,23.8,8.4
23,090,羊,35,土,8,4,1,0,1,0,21.5,8.9
24,091,虎,40,火,3,3,0,1,1,0,24.0,10.4
25,092,兔,39,火,4,3,1,0,1,0,24.8,11.6
26,093,猴,10,火,9,3,0,1,0,1,26.3,12.9
27,094,鸡,33,金,10,5,1,0,1,0,25.5,13.9
28,095,狗,20,土,11,4,0,1,0,1,28.5,13.1
29,096,猴,34,金,9,5,0,1,1,0,29.5,11.9
30,097,猪,31,火,12,3,1,0,1,0,29.3,11.9
31,098,兔,3,金,4,5,1,0,0,1,27.8,10.8
32,099,狗,20,土,11,4,0,1,0,1,21.8,13.1
33,100,鼠,42,金,1,5,0,1,1,0,23.5,11.8
34,101,蛇,1,火,6,3,1,0,0,1,25.0,13.7
35,102,龙,38,木,5,2,0,1,1,0,21.8,16.9
36,103,狗,32,火,11,3,0,1,1,0,22.5,17.6
37,104,鼠,6,土,1,4,0,1,0,1,22.7,17.7
38,105,龙,26,金,5,5,0,1,1,0,23.2,17.0
39,106,鼠,18,火,1,3,0,1,0,1,24.2,17.0
40,107,猴,46,木,9,2,0,1,1,0,20.2,14.6
41,108,兔,27,土,4,4,1,0,1,0,27.7,14.3
42,109,兔,3,金,4,5,1,0,0,1,25.8,13.4
43,110,羊,47,火,8,3,1,0,1,0,21.0,15.8
44,111,鸡,45,木,10,2,1,0,1,0,27.8,16.8
45,112,鸡,45,木,10,2,1,0,1,0,31.0,18.1
46,113,猴,46,木,9,2,0,1,1,0,35.5,17.6
47,114,龙,38,木,5,2,0,1,1,0,35.5,17.6
48,115,兔,3,金,4,5,1,0,0,1,37.3,17.1
