id,nid,num,num_jg,num_uprl,num_tjrl,tj2
1,022,"3,6,8,11,14,15,20,25,26,28,39,49,54,56,57,61,63,66,76,77","2,2,-3,9,2,-6,5,-8,4,1,-11,3,1,-14,-15,3,8,3,6,-20,2,4,4,3,-25,-26,1,-28,15,1,4,1,1,4,1,17,2,1,-39,2,2,8,2,21,2,3,1,4,-49,1,5,1,3,-54,3,-56,-57,7,8,2,-61,1,-63,5,1,-66,2,3,9,3,1,3,2,10,9,-76,-77,2,3,3","32,12,46,2,71,67,72,6,9,26,64,69,73,51,56,27,58,74,7,23,41,66,75,76,80,35,54,61,3,5,33,37,57,16,8,13,65,11,15,20,50,59,77,22,34,36,38,45,48,52,53,63,70,68,79,4,10,39,14,19,21,42,60,62,1,43,28,30,49,31,40,18,24,55,44,17,25,29,47,78","32,12,2,46,71,6,67,72,9,26,56,73,51,64,69,27,74,7,23,41,58,66,76,61,54,57,75,80,3,33,35,37,5,8,11,13,15,16,65,77,20,50,59,63,22,34,38,45,48,52,70,36,39,53,68,79,4,10,14,21,42,60,1,19,28,43,49,62,30,31,18,40,55,24,17,25,44,29,47,78","1,2,4,5,7,9,10,13,14,18,21,24,26,28,29,31,32,34,37,41,42,46,47,48,49,51,54,57,58,62,67,69,71,76,78,79,80"
2,023,"5,6,7,8,13,17,21,25,32,33,36,41,46,55,59,62,68,70,74,76","3,3,1,10,-5,-6,-7,-8,5,2,1,4,-13,1,1,4,-17,4,7,1,-21,5,5,4,-25,1,2,1,16,2,5,-32,-33,5,2,-36,3,2,1,3,-41,9,3,22,3,-46,2,5,1,2,6,2,4,1,-55,1,1,8,-59,3,1,-62,1,6,2,1,3,-68,10,-70,2,4,3,-74,10,-76,1,3,4,4","32,12,2,46,71,6,67,72,9,26,56,73,51,64,69,27,74,7,23,41,58,66,76,61,54,57,75,80,3,33,35,37,5,8,11,13,15,16,65,77,20,50,59,63,22,34,38,45,48,52,70,36,39,53,68,79,4,10,14,21,42,60,1,19,28,43,49,62,30,31,18,40,55,24,17,25,44,29,47,78","32,12,46,2,6,71,67,72,26,9,56,51,64,73,74,27,41,69,76,7,23,58,61,66,54,57,75,80,3,5,8,33,35,37,13,11,16,59,77,15,20,50,63,65,22,34,36,38,45,52,68,70,39,48,53,79,4,10,14,21,42,60,1,28,43,62,19,30,49,31,18,55,24,25,40,17,44,29,47,78","1,5,7,9,11,13,14,18,20,24,25,29,31,32,34,36,41,42,45,47,49,51,52,54,55,58,62,66,69,70,71,75,76,78"
3,024,"1,7,10,12,16,21,25,26,29,30,33,34,36,37,41,53,71,72,73,75","-1,4,2,11,1,1,-7,1,6,-10,2,-12,1,2,2,-16,1,5,8,2,-21,6,6,5,-25,-26,3,2,-29,-30,6,1,-33,-34,3,-36,-37,3,2,4,-41,10,4,23,4,1,3,6,2,3,7,3,-53,2,1,2,2,9,1,4,2,1,2,7,3,2,4,1,11,1,-71,-72,-73,1,-75,1,2,4,5,5","32,12,46,2,6,71,67,72,26,9,56,51,64,73,74,27,41,69,76,7,23,58,61,66,54,57,75,80,3,5,8,33,35,37,13,11,16,59,77,15,20,50,63,65,22,34,36,38,45,52,68,70,39,48,53,79,4,10,14,21,42,60,1,28,43,62,19,30,49,31,18,55,24,25,40,17,44,29,47,78","32,12,46,2,71,72,6,26,67,9,56,73,41,51,64,74,7,27,69,76,23,58,61,66,75,33,37,54,80,3,5,8,57,16,35,11,13,59,77,15,20,34,36,63,22,38,50,52,65,68,70,10,21,45,48,53,79,4,14,39,1,42,28,43,60,30,49,62,19,31,25,55,18,24,40,17,29,44,47,78","2,4,6,7,10,11,14,17,19,20,22,24,27,29,30,33,34,39,42,43,45,47,48,51,54,59,60,63,64,67,70,71,75,76,78,80"
4,025,"2,3,5,7,12,13,23,26,29,39,43,44,48,60,62,63,64,74,77,79","1,-2,-3,12,-5,2,-7,2,7,1,3,-12,-13,3,3,1,2,6,9,3,1,7,-23,6,1,-26,4,3,-29,1,7,2,1,1,4,1,1,4,-39,5,1,11,-43,-44,5,2,4,-48,3,4,8,4,1,3,2,3,3,10,2,-60,3,-62,-63,-64,4,3,5,2,12,2,1,1,1,-74,1,2,-77,5,-79,6","32,12,46,2,71,72,6,26,67,9,56,73,41,51,64,74,7,27,69,76,23,58,61,66,75,33,37,54,80,3,5,8,57,16,35,11,13,59,77,15,20,34,36,63,22,38,50,52,65,68,70,10,21,45,48,53,79,4,14,39,1,42,28,43,60,30,49,62,19,31,25,55,18,24,40,17,29,44,47,78","32,12,2,46,71,26,72,6,67,9,56,64,73,74,7,23,27,41,51,69,76,58,61,66,3,5,33,54,75,80,37,57,8,13,16,35,77,11,63,20,36,59,15,22,34,52,65,68,70,79,10,21,38,39,48,50,53,14,45,1,4,42,43,60,28,30,49,62,19,31,25,55,18,24,29,40,44,17,47,78","1,2,3,6,7,11,13,16,18,20,22,24,27,30,31,34,38,40,43,45,48,49,54,60,63,64,65,69,72,73,76,77,79"
5,026,"4,11,12,13,17,20,23,33,40,43,44,50,53,60,63,65,67,68,72,80","2,1,1,-4,1,3,1,3,8,2,-11,-12,-13,4,4,2,-17,7,10,-20,2,8,-23,7,2,1,5,4,1,2,8,3,-33,2,5,2,2,5,1,-40,2,12,-43,-44,6,3,5,1,4,-50,9,5,-53,4,3,4,4,11,3,-60,4,1,-63,1,-65,4,-67,-68,13,3,2,-72,2,1,2,3,1,6,1,-80","32,12,2,46,71,26,72,6,67,9,56,64,73,74,7,23,27,41,51,69,76,58,61,66,3,5,33,54,75,80,37,57,8,13,16,35,77,11,63,20,36,59,15,22,34,52,65,68,70,79,10,21,38,39,48,50,53,14,45,1,4,42,43,60,28,30,49,62,19,31,25,55,18,24,29,40,44,17,47,78","32,12,2,46,71,26,67,72,6,9,64,73,74,7,23,56,27,69,76,41,51,33,80,3,54,58,61,66,75,5,13,37,57,8,11,63,77,16,35,20,36,59,65,15,22,34,50,52,53,68,70,79,10,21,38,39,48,4,14,43,60,1,42,45,28,30,49,19,31,62,25,44,17,24,29,40,55,18,47,78","1,2,4,5,7,9,11,13,15,18,20,22,25,27,28,30,34,36,37,43,45,46,49,53,55,60,61,64,65,69,71,76,79"
6,027,"1,9,10,12,14,16,19,24,28,35,38,40,49,53,56,58,64,67,71,77","-1,2,2,1,2,4,2,4,-9,-10,1,-12,1,-14,5,-16,1,8,-19,1,3,9,1,-24,3,2,6,-28,2,3,9,4,1,3,-35,3,3,-38,2,-40,3,13,1,1,7,4,6,2,-49,1,10,6,-53,5,4,-56,5,-58,4,1,5,2,1,-64,1,5,-67,1,14,4,-71,1,3,2,3,4,-77,7,2,1","32,12,2,46,71,26,67,72,6,9,64,73,74,7,23,56,27,69,76,41,51,33,80,3,54,58,61,66,75,5,13,37,57,8,11,63,77,16,35,20,36,59,65,15,22,34,50,52,53,68,70,79,10,21,38,39,48,4,14,43,60,1,42,45,28,30,49,19,31,62,25,44,17,24,29,40,55,18,47,78","12,32,46,71,2,26,67,72,9,64,56,73,74,6,7,23,27,69,76,41,33,51,3,58,61,66,75,80,5,13,37,54,77,8,11,57,63,16,35,20,36,53,59,65,10,34,38,50,52,68,70,79,15,21,22,39,48,4,14,43,1,42,45,60,28,19,30,49,31,24,40,44,62,25,29,55,17,18,47,78","1,4,6,8,9,11,12,13,15,18,19,20,24,25,26,33,34,36,39,41,42,44,46,49,54,55,60,61,64,65,69,71,75,76,78"
7,028,"5,9,11,13,25,27,28,29,38,44,50,51,52,53,55,59,63,66,71,73","1,3,3,2,-5,5,3,5,-9,1,-11,1,-13,1,6,1,2,9,1,2,4,10,2,1,-25,3,-27,-28,-29,4,10,5,2,4,1,4,4,-38,3,1,4,14,2,-44,8,5,7,3,1,-50,-51,-52,-53,6,-55,1,6,1,-59,2,6,3,-63,1,2,-66,1,2,15,5,-71,2,-73,3,4,5,1,8,3,2","12,32,46,71,2,26,67,72,9,64,56,73,74,6,7,23,27,69,76,41,33,51,3,58,61,66,75,80,5,13,37,54,77,8,11,57,63,16,35,20,36,53,59,65,10,34,38,50,52,68,70,79,15,21,22,39,48,4,14,43,1,42,45,60,28,19,30,49,31,24,40,44,62,25,29,55,17,18,47,78","32,12,71,2,46,9,26,67,72,64,73,74,6,7,27,56,23,69,76,41,33,51,5,13,61,66,75,80,3,11,54,58,63,77,8,37,57,35,53,16,20,36,38,52,59,10,50,65,68,70,79,15,21,22,34,39,14,43,48,1,4,42,45,60,28,19,49,30,44,24,25,29,31,40,55,62,18,17,47,78","1,4,6,8,9,10,11,13,18,19,20,21,24,25,26,34,36,38,43,46,47,50,51,56,57,61,62,64,65,68,70,71,74,75,79"
8,029,"4,5,6,7,12,21,40,49,51,52,53,54,59,61,62,65,75,76,77,79","2,4,4,-4,-5,-6,-7,6,1,2,1,-12,1,2,7,2,3,10,2,3,-21,11,3,2,1,4,1,1,1,5,11,6,3,5,2,5,5,1,4,-40,5,15,3,1,9,6,8,4,-49,1,-51,-52,-53,-54,1,2,7,2,-59,3,-61,-62,1,2,-65,1,2,3,16,6,1,3,1,4,-75,-76,-77,9,-79,3","32,12,71,2,46,9,26,67,72,64,73,74,6,7,27,56,23,69,76,41,33,51,5,13,61,66,75,80,3,11,54,58,63,77,8,37,57,35,53,16,20,36,38,52,59,10,50,65,68,70,79,15,21,22,34,39,14,43,48,1,4,42,45,60,28,19,49,30,44,24,25,29,31,40,55,62,18,17,47,78","12,32,71,2,46,9,26,67,72,73,6,7,64,56,74,76,27,23,41,51,69,5,61,75,13,33,54,66,77,3,11,58,80,8,37,53,57,63,35,59,16,20,36,38,52,65,79,68,70,10,15,21,22,39,50,4,34,43,48,1,14,45,60,42,49,19,28,30,40,24,29,31,44,55,62,25,18,17,47,78","1,4,6,7,9,10,12,17,18,20,21,25,29,30,31,34,36,37,40,42,44,47,51,52,56,57,60,62,63,64,65,69,70,72,74,75,79"
9,030,"4,10,13,18,20,23,26,30,33,34,37,40,45,46,49,51,57,63,71,73","3,5,5,-4,1,1,1,7,2,-10,2,1,-13,3,8,3,4,-18,3,-20,1,12,-23,3,2,-26,2,2,2,-30,12,7,-33,-34,3,6,-37,2,5,-40,6,16,4,2,-45,-46,9,5,-49,2,-51,1,1,1,2,3,-57,3,1,4,1,1,-63,3,1,2,3,4,17,7,-71,4,-73,5,1,1,1,10,1,4","12,32,71,2,46,9,26,67,72,73,6,7,64,56,74,76,27,23,41,51,69,5,61,75,13,33,54,66,77,3,11,58,80,8,37,53,57,63,35,59,16,20,36,38,52,65,79,68,70,10,15,21,22,39,50,4,34,43,48,1,14,45,60,42,49,19,28,30,40,24,29,31,44,55,62,25,18,17,47,78","32,12,71,46,2,26,9,67,72,73,6,7,64,56,74,76,23,27,51,69,5,13,41,61,33,54,66,75,77,3,11,58,80,8,37,53,57,63,20,35,59,16,38,52,65,36,70,79,4,10,15,21,34,39,68,22,43,45,48,50,1,49,60,14,28,30,40,42,19,24,31,44,62,18,29,55,25,17,47,78","1,4,5,7,10,11,13,14,18,19,20,22,25,28,30,33,35,37,40,42,43,46,49,52,54,56,61,62,63,64,70,72,73,75,78"
10,031,"3,4,9,13,14,15,27,28,32,33,36,37,46,51,60,61,66,71,75,78","4,6,-3,-4,2,2,2,8,-9,1,3,2,-13,-14,-15,4,5,1,4,1,2,13,1,4,3,1,-27,-28,3,1,13,-32,-33,1,4,-36,-37,3,6,1,7,17,5,3,1,-46,10,6,1,3,-51,2,2,2,3,4,1,4,2,-60,-61,2,1,4,2,-66,4,5,18,8,-71,5,1,6,-75,2,2,-78,2,5","32,12,71,46,2,26,9,67,72,73,6,7,64,56,74,76,23,27,51,69,5,13,41,61,33,54,66,75,77,3,11,58,80,8,37,53,57,63,20,35,59,16,38,52,65,36,70,79,4,10,15,21,34,39,68,22,43,45,48,50,1,49,60,14,28,30,40,42,19,24,31,44,62,18,29,55,25,17,47,78","32,12,71,46,2,9,26,72,73,67,6,7,27,51,56,64,74,76,23,13,61,5,33,66,69,75,3,41,54,77,11,80,8,37,53,58,63,20,57,59,35,36,65,4,15,16,38,52,70,79,34,39,68,10,21,22,43,48,50,60,45,1,14,28,49,40,42,19,30,24,31,44,62,18,29,55,25,17,78,47","1,3,4,7,8,10,11,13,14,18,19,20,22,25,28,30,33,35,37,40,42,43,46,51,53,54,56,59,61,64,70,71,73,74,76,79"
