id,nid,num,tj_2,t_618,t_618_2,js,os,ds,xs,jxs,ods,t_jxs,t_ods,t_qy1,t_qy2,t_qy3,t_qy4,t_0,t_1,t_2
1,339,"[1, 2, 5]","[1, 3, 6]",17,2,7,10,6,11,6,5,17,17,8,3,4,2,3,8,6
2,340,"[2, 3, 7]","[2, 4, 5]",16,2,10,6,9,7,5,4,17,17,4,3,2,7,8,5,3
3,341,"[1, 2, 9]","[2, 4, 5]",15,1,5,10,9,6,2,6,17,17,3,3,6,3,4,4,7
4,342,"[4, 7, 9]","[1, 4, 5]",17,2,11,6,9,8,7,5,17,17,3,5,6,3,6,5,6
5,343,"[7, 22, 27]","[1, 4, 5]",15,1,5,10,10,5,3,8,17,17,1,4,5,5,8,5,2
6,344,"[2, 4, 7]","[1, 4, 6]",17,2,10,7,9,8,5,4,17,17,6,2,6,3,7,7,3
7,345,"[13, 23, 26]","[1, 3, 4]",16,2,7,9,11,5,3,7,17,17,3,2,4,7,5,7,4
8,346,"[4, 7, 10]","[1, 3, 5]",17,2,9,8,8,9,5,4,17,17,2,7,6,2,4,9,4
9,347,"[3, 5, 10]","[1, 3, 4]",16,2,10,6,8,8,4,2,17,17,4,4,6,2,5,3,8
10,348,"[4, 12, 14]","[1, 4, 7]",17,2,6,11,10,7,1,5,17,17,4,3,6,4,7,4,6
11,349,"[2, 3, 6]","[1, 3, 5]",16,2,8,8,7,9,4,3,17,17,5,4,4,3,8,3,5
12,350,"[1, 3, 8]","[1, 4, 7]",16,2,11,5,10,6,4,3,17,17,4,2,5,5,8,2,6
13,351,"[7, 9, 12]","[3, 6, 7]",15,1,8,7,5,10,5,2,17,17,4,6,3,2,5,8,2
14,352,"[4, 6, 12]","[4, 7, 8]",16,2,6,10,10,6,0,4,17,17,3,3,5,5,6,5,5
15,001,"[2, 15, 20]","[1, 2, 4]",16,2,5,11,11,5,1,7,17,17,4,1,8,3,3,5,8
16,002,"[2, 5, 6]","[1, 2, 4]",19,3,11,8,10,9,6,5,17,17,6,3,5,5,8,5,6
17,003,"[3, 6, 10]","[1, 2, 4]",15,1,6,9,7,8,2,3,17,17,4,4,2,5,7,5,3
18,004,"[4, 7, 9]","[1, 5, 9]",16,2,8,8,7,9,4,3,17,17,3,6,4,3,5,6,5
19,005,"[9, 11, 12]","[1, 3, 4]",17,2,10,7,7,10,6,3,17,17,4,6,3,4,8,5,4
20,006,"[2, 8, 12]","[1, 4, 6]",18,2,8,10,9,9,4,5,17,17,7,2,2,7,6,5,7
21,007,"[1, 2, 18]","[1, 4, 5]",17,2,13,4,10,7,5,2,17,17,4,3,7,3,7,5,5
22,008,"[1, 2, 7]","[1, 2, 5]",17,2,10,7,10,7,3,3,17,17,3,4,5,5,4,6,7
23,009,"[11, 15, 26]","[2, 4, 6]",16,2,6,10,11,5,2,7,17,17,2,3,5,6,4,6,6
24,010,"[9, 10, 20]","[1, 2, 5]",17,2,6,11,12,5,2,8,17,17,1,4,6,6,6,5,6
25,011,"[2, 3, 5]","[1, 3, 7]",18,2,12,6,8,10,6,2,17,17,9,1,3,5,7,5,6
26,012,"[2, 4, 6]","[1, 5, 7]",16,2,9,7,8,8,4,3,17,17,5,3,5,3,5,4,7
27,013,"[1, 3, 4]","[1, 3, 4]",16,2,9,7,8,8,5,4,17,17,6,2,6,2,8,5,3
28,014,"[6, 17, 20]","[2, 3, 4]",16,2,7,9,9,7,1,3,17,17,3,4,6,3,8,2,6
29,015,"[1, 3, 10]","[1, 2, 4]",16,2,7,9,9,7,4,6,17,17,5,2,6,3,4,5,7
30,016,"[1, 2, 11]","[1, 3, 4]",16,2,9,7,9,7,4,4,17,17,5,2,4,5,3,7,6
31,017,"[1, 3, 7]","[3, 4, 5]",18,2,12,6,10,8,6,4,17,17,4,4,7,3,5,9,4
